part_number,name_en,name_cn,spec_cn,retail_price,fitment
404005-0010,front brake oil pipe,AT110前碟刹1拖2油管总成,含螺栓与垫片,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AT125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-5"", ""confidence"": ""high"", ""model_code"": ""AT125-2""}]"
404006-0008L,Front brake caliper left,AT110前碟刹下泵体总成 黑色,含全套附件,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-6"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
404006-0008R,Front brake caliper right,AT110前碟刹下泵体总成 黑色,含全套附件,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-6"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
404011-0014,front brake switch,前刹车开关,黑色 手刹 方形,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903019-0012-02,flange bolt,外六角大头法兰螺栓 GB5789,军 绿 M8*16,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903002-0004-02,washer,平垫 GB97.1-85,军 绿 Φ8*16*1.5,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903018-0011,flange bolt,外六角小头法兰螺栓 GB5787,军 绿 M8*35,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903007-0004-02,nut,六角法兰自锁螺母 GB6187-86,军 绿 M8,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
405010-0002,Rear disc brake oil pipe clamp,后碟刹油管夹,铁制,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
404003-0007-30,front brake lock tab/bracket,,,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU150"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU150""}]"
405000-0082,rear brake assy.,后碟刹总成,L=1200 小握距/如意下泵/普通蹄块,76.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
404002-0015,left brake lever,左制动把,黑色,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
405008-0007,rear brake pad,后碟刹蹄块,普通,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
405009-0011,rear brake bracket,后刹大精灵支架,黑色,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-3"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
405007-0014,rear brake bottom pump assy.,后大单碟刹下泵体总成,黑色 含全套附件,51,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""1-4"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
405006-0011,rear brake oil pipe assy.,AY70-2后大单碟刹油管,L=1200mm 含螺栓与垫片,25.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-5"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
405004-0011,rear brake master cylinder,后碟刹上泵体总成 黑色,黑色 含全套附件,28.9,"[{""make"": ""Kayo"", ""year"": 2021, ""model"": ""AU125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-6"", ""confidence"": ""high"", ""model_code"": ""AU125-2""}]"
405012-0009,rear brake switch,后刹车开关,黑色 手刹 方形,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903019-0013-02,bolt,外六角大头法兰螺栓 GB5789,军 绿 M8*20 全螺纹,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
405004-0011-30,rear brake park lock bracket/tab,,,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU150"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU150""}]"
405012-0005,rear park lock kit,后碟刹驻车手柄,黑 色 含螺栓/螺母/弹簧,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU150"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU150""}]"
501000-0085,front fork,前左右减震,彩锌座 L=252 Φ6.2黑簧,42.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
903018-0032,bolt,外六角小头法兰螺栓 GB5787,兰白锌 M10*40*1.25 半螺纹,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EKMB"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""EKMB""}]"
903007-0006,nut,六角法兰自锁螺母 GB6187-86,兰白锌 M10*1.25,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EKMB"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EKMB""}]"
566000-0001-01,Steering column(black),转向柱,亚 黑 AY70-2 L532,45,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
566000-0001-02,Steering column(orange),转向柱,橘 黄 AY70-2 L532,45,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
902002-0031,busher,转向冶金衬套,Φ15*29*H20+Ф21+H17,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903008-0009,slotted nut,开槽螺母 GB9457-1988,军 绿 M10*1.25,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
904002-0002-02,cotter pin,开口销 GB91,军 绿 2.5*24,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""13"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903013-0020-02,screw,内六角圆柱头螺丝 GB70-85,军 绿 M8*25,5.1,[]
601003-0003,upper raiser,铸造上压块,银色 分体,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AT125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""AT125-2""}]"
601003-0023,upper raiser,上压块,银色 锻造 分体 带KAYO标,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903017-0011,flange bolt,外六角对边螺栓 GB5783,兰白锌 M10*30*1.5 S14,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
601004-0004,lower raiser,铸造下压块,银色 分体,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AT125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""AT125-2""}]"
601004-0028,lower raiser,下压块,银色 锻造 分体 带六角对边内孔,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
603001-0002,steering linkages,转向拉杆组件,彩 锌 L=130 M10*1.25*22+M10*1.25*22,25.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
903018-0015,flange bolt,外六角小头法兰螺栓 GB5787,兰白锌 M8*55,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""10"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
603004-0003,steering raiser,转向柱夹块,黑 色 尼龙加衬套 H20.5*孔距39.5,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903007-0007,flange lock nut,六角法兰自锁螺母 GB6187-86,兰白锌 M10*1.5,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
568000-0001,steering column lock piece,转向柱锁片,彩 锌 AY70 孔距39 焊M型线夹,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""15"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903003-0003,washer,波型垫片 GB/T955-1987,黑 色 Φ15*21,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
908004-0003,plug,橡胶堵头,黑色 Φ10*Φ15*14,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""17"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903001-0005,washer,弹垫 GB93-87,兰白锌 Φ10.5*16*3,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903002-0008,flat gasket,平垫 GB97.1-85,兰白锌 Φ10*20*2,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
903002-0008-02,washer,平垫 GB97.1-85,军 绿 Φ10*20*2,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""18"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
401006-0034,rear tire,轮胎,16*8-7 带气门嘴/飞机纹JK616 俊凯,68,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
401003-0008,front hub seat,前轮毂组件,电泳黑 孔距88/配套先用彩锌,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
401000-0055,front rim,前轮辋,黑色 7*4.8 4/88 67,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
404001-0014,front brake disc,前碟刹圆盘,Φ40.4*Φ110 孔距50,27.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903008-0011,slotted nut,开槽螺母 GB9457-1988,军 绿 M14*1.5*H18,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
401011-0001,hub cover,轮毂盖,黑色,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903014-0001,screw,内六角沉头螺丝 GB70.3,兰白锌 M6*16 10.9级,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903002-0013-02,平垫 GB97.1-85,军 绿 Φ15*30*2.5,PCS,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
C90004-0075,Front tire with rim left,前左轮组件,401000-0055*1/401012-0002*1,119,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
C90004-0076,Front tire with rim right,前右轮组件,401000-0055*1/401012-0002-02*1,119,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
904002-0006-02,cotter pin,开口销 GB91,军 绿 4*28,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
401000-0056,Rear rim,后轮辋,黑色 7*4.8AT-3/90 54,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
903008-0012,slotted nut,开槽螺母 GB9457-1988,军 绿 M16*1.5,8.5,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
903008-0030,slotted nut,六角法兰开槽螺母 GB9457-1988,军 绿 M16*1.5,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903002-0014,flat washer,平垫 GB97.1-85,兰白锌 Φ17*48*3,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
C90004-0028,Rear tire with rim left,后左轮组件,401000-0056*1/402008-0002*1,119,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
C90004-0029,Rear tire with rim right,后右轮组件,401000-0056*1/402008-0002-02*1,119,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
561000-0041-01,frame,AY70-2车架总成/金工,亚 黑 配椭圆形座垫 带铝牌安装板/旗杆支架 EPA状态,408,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
561000-0048-01,frame(black),车架总成/金工-机,亚 黑 AY70-2 带铝牌安装板/旗杆支架 EPA状态,408,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
561000-0048-02,frame(orange),车架总成/金工-机,橘 黄 AY70-2 带铝牌安装板/旗杆支架 EPA状态,408,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
704000-0001-01,bumper,前防护总成,亚黑 196.6*116,42.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
568000-0006,engine hanger,发动机上吊耳,亚黑塑,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
903020-0030,bolt kit,外六角组合螺栓 GB9074,军 绿 M8*16 含弹垫/平垫,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU150"", ""section"": null, ""variant"": null, ""callout_no"": ""15"", ""confidence"": ""high"", ""model_code"": ""AU150""}]"
568000-0009,front fixer for right plastic,右塑件前固定板,亚黑塑,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
568000-0008,front fixer for left plastic,左塑件前固定板,亚黑塑,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
909010-0001,EVA 30*30,发泡海棉,黑色 30*30/带3M胶,5.1,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K2"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""K2""}]"
909010-0008,EVA,EVA,黑色 82*65*4 带单面不干胶,5.1,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""26"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
565000-0001-01,left lower rocker arm black,左下摇臂/金工,亚 黑 AY70-2 带M6支架 L222.1,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
565000-0002-01,right lower rocker arm black,右下摇臂/金工,亚 黑 AY70-2 带M6支架 L222.1,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
565000-0001-02,left lower rocker arm orange,左下摇臂/金工,橘 黄 AY70-2 带M6支架 L222.1,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
565000-0002-01O-A,right lower rocker arm orange,右下摇臂/金工,橘 黄 AY70-2 带M6支架 L222.1,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
603002-0019-01,left steering knuckle,左转向节/金工,电泳黑 AY70-2 带前刹安装板L114,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
603002-0020-01,right steering knuckle,右转向节/金工,电泳黑 AY70-2 带前刹安装板L114,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
903018-0035,flange bolt,外六角小头法兰螺栓 GB5787,兰白锌 M10*70*1.25 螺纹27 10.9级,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
908007-0006,sealing cover,前摇臂通用-橡胶密封盖,Φ10*35*H8+Φ27.5*6.5沉孔,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
902002-0029,bushing,摇臂减磨衬套,黑 色 Φ16*27*14+Ф23+H11 POM,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
902001-0026,steel bushing,前摇臂钢衬套,Φ10.2*16*H46,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
903017-0018,bolt,外六角对边螺栓 GB5783,军 绿 M12*80*1.25,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
902002-0038,plastic bushing,摇臂塑料衬套,黑 色 Φ16*27*H23+Φ23+H20,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
901003-0004,inner tube,羊角内衬管,兰白锌 Φ12.2*16*L52,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""13"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
903008-0010,slotted nut,开槽螺母 GB9457-1988,军 绿 M12*1.25,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""14"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
